title,DICD,total_profit,Name
"극장판 헬로카봇 : 백악기 시대",20306433,6538927100,김진철
"극장판 헬로카봇 : 백악기 시대",20306533,6538927100,최신규
"뷰티풀 선데이",10070411,1123934000,진광교
1987,20299130,58167040145,옥대훈
순정만화,20123666,4682641000,손미
신기전,20142869,24326346000,장권호
신기전,20142869,4926508500,장권호
복숭아나무,10002274,240262112,구혜선
순정만화,10019097,4682641000,류장하
"꽃피는 봄이 오면",10019097,3201626000,류장하
"저수지 게임",20286802,985725100,방성준
"더 플랜",20286802,263526895,방성준
"그날, 바다",20302876,4445790528,김지영
희생부활자,10001931,2515479835,곽경택
극비수사,10001931,22389535897,곽경택
"친구 2",10001931,21804687513,곽경택
미운오리새끼,10001931,285969000,곽경택
통증,10001931,5246996000,곽경택
"킹콩을 들다",10001931,8851802500,곽경택
"눈에는 눈 이에는 이",10001931,13287054000,곽경택
사랑,10001931,13446137500,곽경택
태풍,10001931,22209675300,곽경택
챔피언,10001931,9471138230,곽경택
"점박이:한반도의 공룡3D",10027802,9621468000,민병천
"광해, 왕이 된 남자",20144326,88908642769,이란희
"웰컴 투 동막골",20144326,40328508500,이란희
결혼전야,20144326,8444337719,이란희
"우리별 일호와 얼룩소",10060635,292031500,장형윤
"B형 남자친구",10060635,7324579000,장형윤
귀여워,10060635,327192000,장형윤
가루지기,10027781,1777803000,민동현
사과,10027781,384127000,민동현
"싸움의 기술",10027781,7330992000,민동현
"더 테러 라이브",10004291,39869706381,김병우
"더 테이블",10005660,830973100,김종관
"최악의 하루",10005660,505103590,김종관
상의원,20128390,6204129964,이원석
남자사용설명서,20128390,3606654257,이원석
오감도,20128390,3074373500,이원석
아들,20306729,2886902500,김봉주
"스승의 은혜",20188935,3474239000,박채원
"성실한 나라의 앨리스",20113564,349943500,탁도연
마녀,20183059,27242041463,곽기봉
"은밀하게 위대하게",20186285,48700887413,유재선
"불한당: 나쁜 놈들의 세상",20156200,7674017125,윤준희
럭키,20156200,56445023256,윤준희
비상,20156200,221371000,윤준희
비상,20156200,217973600,윤준희
"그림자 살인",20156200,12659065000,윤준희
"터널 3D",20150634,620874000,박규택
귀향,20150634,27248705990,박규택
시,20152055,1542788950,유은정
26년,20112890,21242367145,오성윤
"마당을 나온 암탉",20112890,14670355000,오성윤
"마당을 나온 암탉",20133631,14670355000,박재인
"지금 만나러 갑니다",20280830,20800916128,이장훈
치즈인더트랩,10005652,1890873700,김제영
"날, 보러와요",10005652,8836144063,김제영
"미쓰 와이프",10005652,7387086869,김제영
"밤의 여왕",10005652,1762892500,김제영
"원더풀 라디오",10005652,7255598000,김제영
"예의없는 것들",10005652,4326582400,김제영
"예의없는 것들",10005652,4886772800,김제영
살인소설,10005905,392591200,김진묵
타짜,10005905,36181314700,김진묵
"작업의 정석",10005905,11706585100,김진묵
새드무비,10005905,5628200500,김진묵
"죽이고 싶은",10066770,952555500,조원희
소공녀,20112542,472553700,전고운
"범죄의 여왕",20112542,326980700,전고운
"굿바이 싱글",20112542,16912706195,전고운
돌연변이,20112542,748936684,전고운
전국노래자랑,20112542,6687636000,전고운
"범죄의 여왕",20186944,326980700,정희재
"내 깡패 같은 애인",20186944,5028497000,정희재
"내 사랑 내 곁에",20186944,15584755500,정희재
"무서운 이야기 3 : 화성에서 온 소녀",20186944,784148500,정희재
"아이 캔 스피크",20216655,25539734986,이수민
박열,20216655,18094175795,이수민
"임금님의 사건수첩",20216655,12651193723,이수민
걷기왕,20216655,710905075,이수민
"남과 여",20216655,1651122533,이수민
미쓰GO,20216655,4441859000,이수민
도가니,20216655,35566892800,이수민
"나는 아빠다",20216655,1246420500,이수민
"쓰리 썸머 나잇",10058886,616132846,임필성
"마담 뺑덕",10058886,3728980590,임필성
"헨젤과 그레텔",10058886,1970260500,임필성
남극일기,10058886,5478113500,임필성
"잡아야 산다",20188088,415009400,오인천
소녀괴담,20188088,3554806054,오인천
곡성,10007437,55863520382,나홍진
황해,10007437,17497165500,나홍진
추격자,10007437,33986449500,나홍진
인랑,10005852,6994722173,김지운
밀정,10005852,61270079831,김지운
밀정,10005852,4243936350,김지운
"악마를 보았다",10005852,13403595000,김지운
"악마를 보았다",10005852,13919416500,김지운
"달콤한 인생",10005852,7233790500,김지운
"인류멸망 보고서",10005852,704635000,김지운
히말라야,10055965,60175111015,이석훈
"해적: 바다로 간 산적",10055965,58960630706,이석훈
