﻿pro_rank,title,open_date,total_profit,ticket,total_ticket,screen,screen_shot,make_c,dist_c,mov_class,genre,director,actor,actorS,D,DsumP,DavgP,DminP,DmaxP,mc,MsumP,MavgP,MminP,MmaxP,A,AsumP,AavgP,AminP,AmaxP,Ass,ASsumP,ASavgP,ASminP,ASmaxP
408,크로싱,2008.6.26,5639910500,894105,894105,304,28079,(주)캠프비,(주)벤티지홀딩스,12세이상관람가,드라마,김태균,차인표,신명철,김태균,20507042500,4101408500,1095301000,8023653000,(주)캠프비,5639910500,5639910500,5639910500,5639910500,차인표,5639910500,5639910500,5639910500,5639910500,신명철,5639910500,5639910500,5639910500,5639910500
581,키다리 아저씨,2005.1.14,2789824500,440850,440850,121,11270,"웰메이드엔터테인먼트,(주)유빈픽쳐스",씨제이엔터테인먼트,12세관람가,드라마,공정식,하지원,연정훈,공정식,3748401100,1874200550,958576600,2789824500,"웰메이드엔터테인먼트,(주)유빈픽쳐스",2789824500,2789824500,2789824500,2789824500,하지원,74798953721,9349869215,363098800,19391653500,연정훈,2789824500,2789824500,2789824500,2789824500
780,키친,2009.2.5,931460100,141109,141109,179,8045,(주)수필름,실버스푼,15세이상관람가,멜로/로맨스,홍지영,김태우,신민아,홍지영,18737884467,6245961489,931460100,9362086648,(주)수필름,38974871877,5567838840,784148500,9362086648,김태우,931460100,931460100,931460100,931460100,신민아,29524239405,5904847881,470675000,16636404305
901,킬 미,2009.11.5,386192500,50730,50730,168,6377,(주)싸이더스,(주)싸이더스,청소년관람불가,"멜로/로맨스,코미디",양종현,신현준,장문석,양종현,386192500,386192500,386192500,386192500,(주)싸이더스,1.56245E+11,7102062500,386192500,32373120927,신현준,62290520800,10381753467,386192500,28622355500,장문석,386192500,386192500,386192500,386192500
290,킹콩을 들다,2009.7.1,8851802500,1262858,1262858,411,42631,"(주)알지엔터웍스,(주)씨엘엔터테인먼트",(주)넥스트엔터테인먼트월드(NEW),전체관람가,드라마,박건용,이범수,조안,박건용,10592142500,5296071250,1740340000,8851802500,"(주)알지엔터웍스,(주)씨엘엔터테인먼트",8851802500,8851802500,8851802500,8851802500,이범수,34756471000,6951294200,4073017000,10204359000,조안,10866453200,3622151067,947570700,8851802500
59,타워,2012.12.25,37654858000,5181014,5181014,638,81147,"씨제이이앤엠(주),(주)더타워픽쳐스",씨제이이앤엠(주),12세이상관람가,드라마,김지훈,설경구,손예진,김지훈,1.03819E+11,25954703650,2673832500,44098470600,"씨제이이앤엠(주),(주)더타워픽쳐스",37654858000,37654858000,37654858000,37654858000,설경구,3.09082E+11,19317602939,2195870500,81025004000,손예진,1.96996E+11,28142342273,4376240500,66372140706
950,타이밍,2015.12.10,291240500,38629,38629,196,2835,"(주)효인엔터테인먼트,베데코리아",(주)스톰픽쳐스코리아,15세이상관람가,애니메이션,"민경조,박대열",엄상현,박지윤,"민경조,박대열",291240500,291240500,291240500,291240500,"(주)효인엔터테인먼트,베데코리아",291240500,291240500,291240500,291240500,엄상현,2985029320,597005864,264189420,1171479200,박지윤,291240500,291240500,291240500,291240500
64,타짜,2006.9.28,36181314700,5685521,5685521,492,76884,"(주)영화사참,(주)싸이더스",씨제이엔터테인먼트,18세관람가,드라마,최동훈,조승우,김혜수,최동훈,3.70409E+11,61734840664,6132877000,98463522781,"(주)영화사참,(주)싸이더스",36181314700,36181314700,36181314700,36181314700,조승우,75397855812,15079571162,240262112,36181314700,김혜수,2.2172E+11,73906644733,36181314700,93665632500
201,타짜-신의 손,2014.9.3,13217615777,1601669,1601669,890,21384,(주)싸이더스,"롯데쇼핑㈜롯데엔터테인먼트,(주)싸이더스",청소년관람불가,드라마,강형철,최승현,신세경,강형철,1.54126E+11,30825124541,698549500,54035565100,(주)싸이더스,1.56245E+11,7102062500,386192500,32373120927,최승현,52600933830,17533644610,7010197126,32373120927,신세경,54664369204,13666092301,3333808000,32373120927
139,타짜-신의 손,2014.9.3,32373120927,2413692,4015361,874,59200,(주)싸이더스,"롯데쇼핑㈜롯데엔터테인먼트,(주)싸이더스",청소년관람불가,드라마,강형철,최승현,신세경,강형철,1.54126E+11,30825124541,698549500,54035565100,(주)싸이더스,1.56245E+11,7102062500,386192500,32373120927,최승현,52600933830,17533644610,7010197126,32373120927,신세경,54664369204,13666092301,3333808000,32373120927
126,탐정 : 더 비기닝,2015.9.24,20463956973,2625686,2625686,764,54995,(주)크리픽쳐스,씨제이이앤엠(주),15세이상관람가,"코미디,범죄",김정훈,권상우,성동일,김정훈,36264255973,18132127987,15800299000,20463956973,(주)크리픽쳐스,36264255973,18132127987,15800299000,20463956973,권상우,38810490973,9702622743,3837152000,20463956973,성동일,98162158973,16360359829,2647781500,57570773000
232,탐정 홍길동: 사라진 마을,2016.5.4,11515559845,1430817,1430817,764,41074,(주)영화사비단길,씨제이이앤엠(주),15세이상관람가,"드라마,액션",조성희,이제훈,김성균,조성희,60978618845,20326206282,2869918500,46593140500,(주)영화사비단길,1.20325E+11,17189277792,329280000,46593140500,이제훈,13174212845,6587106423,1658653000,11515559845,김성균,18861264382,6287088127,359247800,11515559845
