pro_rank,title,open_date,profit,percent,total_profit,ticket,total_ticket,screen,screen_shot,make_c,dist_c,mov_class,genre,director,actor
315,특수본,2011.11.24,8096052500,0.60%,8096052500,1118258,1118258,471,40881,(주)영화사수박,"(주)시너지하우스 (시너지),롯데쇼핑㈜롯데엔터테인먼트",15세이상관람가,"액션,범죄",황병국,"우혜진,엄태웅,주원,정진영,성동일,이태임,김정태,송지현,신혜정,최현정,최형준,조재윤,조창훈,권영복,류지은,서민경,김경아,민정기,유성,유성재,김태희,곽혜진,윤미옥,박민정,구창모,장용철,장현정,박성규,최우형,유창숙,이태훈,김윤재,한국진,김영재,이희준,김수현,유승목,정만식,반민정,오희준"
316,오빠생각,2016.1.21,8060591287,0.50%,8060591287,1069864,1069864,855,44801,(주)조이래빗,(주)넥스트엔터테인먼트월드(NEW),12세이상관람가,"드라마,전쟁",이한,"김현빈,임시완,고아성,이희준,이준혁,정준원,이레,김영재,임윤경,정대웅,정병두,정세훈,이건하,이성욱,이승빈,이승준,이연화,홍동영,홍솔,강현구,정준용,탕준상,김대현"
317,"늑대의 유혹",2004.7.22,8023653000,5.00%,8023653000,1296928,1296928,123,12755,(주)싸이더스,(주)쇼박스,12세관람가,드라마,김태균,"강동원,이청아,조한선,이명수,정혜영,김현진,박용두,조인형,박진희,정다혜,김보연"
318,베스트셀러,2010.4.15,7983184500,0.80%,7983184500,1081752,1081752,308,41064,"(주)에코필름,데이지엔터테인먼트","(주)시너지하우스 (시너지)",15세이상관람가,"미스터리,스릴러,드라마",이정호,"엄정화,류승룡,이도경,김화영,조상원,남동협,박혁,주명훈,강정식,김대영,이연,이준호,박사랑,김홍파,최무성,조진웅,이성민,오정세,이용녀,조희봉,서이숙"
319,공모자들,2012.8.29,7965119500,0.60%,7965119500,1076744,1076744,496,23917,(주)영화사채움,"씨너스엔터테인먼트(주),타임스토리그룹(주)",청소년관람불가,"범죄,스릴러",김홍선,"임창정,최다니엘,오달수,조윤희,조달환,정지윤,최일화,박일목,임향주,권태호,최은용,최지향,박승명,오상진,라미란,김재화,손종학,김규선,공정환"
320,시크릿,2009.12.3,7957651500,0.80%,7957651500,1043602,1043602,408,34479,"(주)그린피쉬픽쳐스,(주)제이케이필름",씨제이엔터테인먼트,청소년관람불가,"스릴러,드라마,미스터리",윤재구,"차승원,송윤아,류승룡,김수남,박효주,한아름,천지윤,최가희,박경소,임기홍,이엘,김주석,김준영,박진우,이철민,오정세,최성민,곽민호,김민교,송지인,예수정"
321,"수상한 고객들",2011.4.14,7953428000,0.60%,7953428000,1059350,1059350,411,33930,(주)메이스엔터테인먼트,씨제이이앤엠(주),15세이상관람가,"코미디,드라마",조진모,"윤하,류승범,박철민,정선경,성동일,강민우,신채원,채빈,홍소희,강승연,진선미,김보슬,이지은,유성협,박매희,박상철,정성하,김철준,이철민,최정우,김병춘,안길강,장준녕,정만식,최일화,연송하"
322,홀리데이,2006.1.19,7885116000,0.80%,7885116000,1257399,1257399,170,22092,(주)현진씨네마,롯데쇼핑㈜롯데엔터테인먼트,18세관람가,"드라마,스릴러,범죄",양윤호,"이성재,최민수,서경화,김동현,문영동,김원중,최지웅,박정석,서상민,김광호,차유경,유재선,이효원,윤정석,박성민,양현영,양길영,김주용,이지민,이얼,이봉규,장세진"
323,"즐거운 인생",2007.9.13,7874566500,0.80%,7874566500,1202719,1202719,322,39418,(주)영화사아침,씨제이엔터테인먼트,전체관람가,드라마,이준익,"김상호,김윤석,주진모,장근석,정진영,김호정,송재완,조성구,홍인기,노브레인,정성미,이정연,신정근"
324,해바라기,2006.11.23,7835485400,0.80%,7835485400,1305024,1305024,246,31879,아이비젼엔터테인먼트(주),(주)쇼박스,15세이상관람가,"액션,드라마,가족,범죄",강석범,"김원진,김래원,김해숙,허이재,김정태,이승희,이준원,홍은표,홍의정,박철호,한정수,박종준,심인보,황인성,이란희,김택수,이후경,박병렬,박병렬,이소진,최영은,김지형,김우현,박성웅,김병옥,정은표,지대한,박은혜"
