avgP,minP,maxP,sumP,actorCD,Name
58167040145.0000,58167040145,58167040145,58167040145,20195566,이상준
24226215030.2500,9731838195,58167040145,96904860121,20253851,이동희
25541438246.6667,363098800,58167040145,76624314740,20260509,이동욱
58167040145.0000,58167040145,58167040145,58167040145,20297031,이가영
29021857167.9200,315291000,115706188137,725546429198,10021341,마동석
25023991482.2895,284106600,115706188137,950911676327,10054755,이경영
3326439772.0000,3326439772,3326439772,3326439772,20296813,정유민
35489666466.0000,35489666466,35489666466,35489666466,20296812,정유나
18094175795.0000,18094175795,18094175795,18094175795,10010107,"달시 파켓"
364405500.0000,364405500,364405500,364405500,20296567,김재덕
364405500.0000,364405500,364405500,364405500,20296566,장수원
364405500.0000,364405500,364405500,364405500,20296671,이재진
364405500.0000,364405500,364405500,364405500,20296565,강성훈
25805649681.3333,3264596000,58167040145,154833898088,20152252,유정호
31313568795.0000,31313568795,31313568795,31313568795,10061518,전헌태
3357912530.0000,3357912530,3357912530,3357912530,20295755,임지혜
1930905564.0000,1930905564,1930905564,1930905564,20295749,임용순
31225419792.0000,31225419792,31225419792,31225419792,20295698,이호중
216276800.0000,216276800,216276800,216276800,10058182,이혜수
6276963402.0000,6276963402,6276963402,6276963402,10005484,김재록
73799911502.6667,12651193723,115706188137,221399734508,20294909,최용훈
2879121115.0000,2879121115,2879121115,2879121115,20294851,황정용
11783109998.0000,11783109998,11783109998,11783109998,20294849,황인주
25539734986.0000,25539734986,25539734986,25539734986,10090175,황연희
3357912530.0000,3357912530,3357912530,3357912530,20294737,황수진
42407832092.0000,42407832092,42407832092,42407832092,20230519,이현우
47446292842.0000,44382020516,50510565168,94892585684,20285998,이하준
11783109998.0000,11783109998,11783109998,11783109998,20294666,이하은
50510565168.0000,50510565168,50510565168,50510565168,20294665,이하은
19375123904.3333,542739500,56322098349,58125371713,20164000,이태규
9591898638.3333,619287500,25539734986,28775695915,20166720,이지훈
50510565168.0000,50510565168,50510565168,50510565168,20181764,이지환
50510565168.0000,50510565168,50510565168,50510565168,20294568,이지은
50510565168.0000,50510565168,50510565168,50510565168,20294563,이준희
50510565168.0000,50510565168,50510565168,50510565168,20294562,허승준
13415494940.0000,349943500,53800771400,295140888680,10057492,이준혁
22888014013.6000,9599189500,50510565168,114440070068,20133615,이준혁
28295921226.6667,8330342500,44382020516,84887763680,20209046,이주원
2672293360.5000,2515479835,2829106886,5344586721,20290433,이주연
50510565168.0000,50510565168,50510565168,50510565168,20294611,이제훈
15944309590.7500,1658653000,30220536000,127554476726,10057349,이제훈
25539734986.0000,25539734986,25539734986,25539734986,20290422,이정현
18710443652.0000,2879121115,50510565168,74841774608,20290423,이정현
65142972685.4000,349943500,135753322310,325714863427,10057329,이정현
4641500681.2500,218173300,8597290000,18566002725,10057300,이정우
4457724468.5000,4367582379,4547866558,8915448937,20196172,이정연
3930219264.0000,3930219264,3930219264,3930219264,20294589,이정민
17753855372.7500,3068195600,50510565168,71015421491,20166519,이정민
16357222819.5000,2677284639,30037161000,32714445639,20196138,이재혁
15893630293.2000,1784542300,50510565168,79468151466,20165022,이재민
63331404986.0000,10956621835,115706188137,126662809972,20294389,강소백
2515479835.0000,2515479835,2515479835,2515479835,20294337,함영준
1260533864.0000,1260533864,1260533864,1260533864,20294318,한지호
11783109998.0000,11783109998,11783109998,11783109998,10087461,한명순
50510565168.0000,50510565168,50510565168,50510565168,20294258,최호영
1049542350.0000,314542400,1784542300,2099084700,20196080,이은주
10180134693.5000,216276800,20143992587,20360269387,20254828,이유진
17426957427.5000,1930905564,55863520382,69707829710,20161455,이연
2879121115.0000,2879121115,2879121115,2879121115,20294136,이신우
11706404543.2000,951843500,44382020516,58532022716,10056298,이승희
2515479835.0000,2515479835,2515479835,2515479835,20254428,이승진
25539734986.0000,25539734986,25539734986,25539734986,20294121,이승민
27248705990.0000,27248705990,27248705990,27248705990,20254414,이수현
4472539265.0000,3357912530,5587166000,8945078530,20158232,이수연
53825970323.5000,11783109998,95868830649,107651940647,20289646,이수민
32757008090.5000,4243936350,61270079831,65514016181,20254159,이수광
50510565168.0000,50510565168,50510565168,50510565168,20294104,이세형
3357912530.0000,3357912530,3357912530,3357912530,20294118,이세원
11786942306.2500,3541402400,17718699499,47147769225,20195618,이성준
11783109998.0000,11783109998,11783109998,11783109998,20294116,이성은
22098064665.0625,1302907128,82871781800,353569034641,20110148,이성민
26934238849.0000,3357912530,50510565168,53868477698,20294099,이선민
3711676636.3333,3357912530,4367582379,11135029909,20199569,이상훈
4868894833.3333,308882000,13579712500,14606684500,20133605,이상훈
17439515681.8000,2191787000,50510565168,87197578409,20152098,이상협
5733780869.7368,230047000,20483051393,108941836525,20112263,이병준
287245960.0000,264189420,310302500,574491920,20242187,이민규
21172067233.0000,6276963402,36067171064,42344134466,20265812,이경재
16013385402.0000,1725990153,61270079831,96080312412,20222226,이동진
34888442402.5000,19266319637,50510565168,69776884805,20289592,이동준
10653271160.0000,10653271160,10653271160,10653271160,20294036,이동근
31951457048.0000,961785460,50510565168,95854371144,20289173,이다영
31206321773.7500,9111748087,44395967609,124825287095,20195049,이경훈
216276800.0000,216276800,216276800,216276800,20294024,이경민
3357912530.0000,3357912530,3357912530,3357912530,20294023,이경민
712734900.0000,712734900,712734900,712734900,20199848,김성연
3357912530.0000,3357912530,3357912530,3357912530,20293713,최안나
56322098349.0000,56322098349,56322098349,56322098349,20293607,최성재
2879121115.0000,2879121115,2879121115,2879121115,20293605,최서윤
3930219264.0000,3930219264,3930219264,3930219264,20293156,채현우
50510565168.0000,50510565168,50510565168,50510565168,20293150,지재우
8737864643.0000,8737864643,8737864643,8737864643,20293109,박나예
5496761279.0000,3319505433,7674017125,10993522558,20292930,김말구
2515479835.0000,2515479835,2515479835,2515479835,20292805,오세진
2677284639.0000,2677284639,2677284639,2677284639,20292796,조민성
50510565168.0000,50510565168,50510565168,50510565168,20292653,정부용
50510565168.0000,50510565168,50510565168,50510565168,20292549,정규호
50510565168.0000,50510565168,50510565168,50510565168,20292537,전창현
3357912530.0000,3357912530,3357912530,3357912530,20292478,전누리
3357912530.0000,3357912530,3357912530,3357912530,20292516,장현도
31225419792.0000,31225419792,31225419792,31225419792,10060469,장정국
51004139315.3571,220051200,115706188137,714057950415,10057315,이정재
7359209487.8889,842501700,27248705990,66232885391,10050781,오지혜
50510565168.0000,50510565168,50510565168,50510565168,20159532,오정현
218173300.0000,218173300,218173300,218173300,20292148,오유진
3930219264.0000,3930219264,3930219264,3930219264,20291839,안성봉
1930905564.0000,1930905564,1930905564,1930905564,20291830,신지훈
11783109998.0000,11783109998,11783109998,11783109998,20291765,신은영
17718699499.0000,17718699499,17718699499,17718699499,20220093,서현석
216276800.0000,216276800,216276800,216276800,20291595,서지혜
2879121115.0000,2879121115,2879121115,2879121115,20291591,서주연
2396345442.3333,218173300,6276963402,14378072654,20291569,박호산
18728592694.3333,12309164568,31225419792,56185778083,20228232,서병철
1846581582.0000,1846581582,1846581582,1846581582,20291429,황혜인
2829106886.0000,2829106886,2829106886,2829106886,20291405,황재욱
993321176.0000,993321176,993321176,993321176,20291401,황윤성
9739662144.0000,9739662144,9739662144,9739662144,20291374,황성호
759481000.0000,759481000,759481000,759481000,20291391,황비긴
95868830649.0000,95868830649,95868830649,95868830649,20291389,황민형
29908455627.3333,1260533864,44395967609,89725366882,20249709,박혜영
19221300524.0000,1699031500,50510565168,57663901572,20139269,박혜민
20384930923.0000,616132846,40153729000,40769861846,20139117,박현수
13185265148.7500,2879121115,39380162179,105482121190,20186167,박지훈
38207572216.5000,8737864643,105169264250,152830288866,20183250,박지혜
1260533864.0000,1260533864,1260533864,1260533864,20291228,박지윤
31225419792.0000,31225419792,31225419792,31225419792,20291227,박지원
