,filmoNames,peopleCd,peopleNm,repRoleNm,guest,movie_num,guest_rate,Tot_averageN,Tot_medianN,Tot_average0.3,Tot_median
741,"쏘아올린 불꽃, 밑에서 볼까? 옆에서 볼까?|키즈모노가타리 III : 냉혈편|키즈모노가타리 II : 열혈편|키즈모노가타리 I : 철혈편|극장판 마법소녀 마도카 마기카(신편): 반역의 이야기|극장판 마법소녀 마도카 마기카(후편): 영원의 이야기|극장판 마법소녀 마도카 마기카(전편): 시작의 이야기",20176100,신보 아키유키,감독,78663,4,19665.75,-0.384229533,-0.018463923,0.515770467,2.981536077
742,몬스터 왕국|토토의 움직이는 숲,20174581,에스벤 토프트 야콥슨,감독,78571,1,78571,-0.384261794,-0.018496183,0.515738206,2.981503817
743,오즈: 신기한 마법가루,10029694,블라디미르 토로프킨,감독,78440,1,78440,-0.384307729,-0.018542119,0.515692271,2.981457881
744,모데카이|프리미엄 러쉬|고스트 타운|시크릿 윈도우|스터 오브 에코|쉐도우 ,10012105,데이빗 코엡,감독,78070,1,78070,-0.384437472,-0.018671862,0.515562528,2.981328138
745,엑스 마키나,10044758,알렉스 가랜드,감독,78049,1,78049,-0.384444836,-0.018679225,0.515555164,2.981320775
746,아더 우먼|마이 시스터즈 키퍼|알파독|노트북|존 큐|더 홀|머신 건 블루스|폭력교실 2 |육체의 문 |원죄의 밤|투게더,10008972,닉 카사베츠,감독,77341,1,77341,-0.384693099,-0.018927489,0.515306901,2.981072511
747,춘몽|필름시대사랑|경주|풍경|두만강|이리|중경|궤도|경계|망종|당시|동행|디지털 삼인삼색 2013: 풍경|주리|사실|11세|AISFF2015 시네마 올드 앤 뉴 |AISFF2015 아시프 랑데부: 최고의 감독 & 동행|AISFF2015 특별상영 & 미스터쿠퍼 |이방인들 : 디지털 삼인삼색2013,10060143,장률,감독,77177,2,38588.5,-0.384750607,-0.018984997,0.515249393,2.981015003
748,엽기적인 그녀 2|그해 여름|품행제로|워너비 ,10065271,조근식,감독,76321,1,76321,-0.385050768,-0.019285157,0.514949232,2.980714843
749,하이큐!! 콘셉트의 싸움|하이큐!! 재능과 센스|하이큐!! 승자와 패자|하이큐!! 끝과 시작,20247049,미츠나카 스스무,감독,75704,1,75704,-0.385267122,-0.019501512,0.514732878,2.980498488
750,조조-황제의 반란 감독판|조조-황제의 반란,20122789,조림산,감독,75297,1,75297,-0.385409839,-0.019644228,0.514590161,2.980355772
751,"회초리|강아지, 죽는다|투 맨|배꼽버스|사랑의 종합병원|병팔이의 일기|1990년 자유부인|마리화나|쫄병수첩",10028462,박광우,감독,74765,1,74765,-0.385596387,-0.019830777,0.514403613,2.980169223
752,쿵후팬더: 영웅의 탄생,20174720,레오 로,감독,74143,1,74143,-0.385814495,-0.020048884,0.514185505,2.979951116
753,좀비 나이트|피라냐 3DD 확장판|피라냐 3DD|피스트,10067535,존 걸레거,감독,74044,1,74044,-0.38584921,-0.020083599,0.51415079,2.979916401
754,송 투 송|나이트 오브 컵스|투 더 원더|트리 오브 라이프|뉴월드|씬 레드라인 |천국의 나날들|황무지,10079743,테렌스 맬릭,감독,73681,2,36840.5,-0.385976497,-0.020210887,0.514023503,2.979789113
755,위자,10007936,스틸즈 화이트,감독,73549,1,73549,-0.386022784,-0.020257174,0.513977216,2.979742826
756,언더 파이어|사일런트 하트|리스본행 야간열차|마리 크뢰이어|그들 각자의 영화관|굿바이 만델라|마틴을 위한 노래|레미제라블|센스 오브 스노우|하우스 오브 스피리트|정복자 펠레,10033528,빌 어거스트,감독,73462,1,73462,-0.386053291,-0.020287681,0.513946709,2.979712319
757,안녕 히어로|노라노|두 개의 문|종로의 기적|레즈비언 정치도전기,10089864,홍지유,감독,73298,1,73298,-0.386110798,-0.020345188,0.513889202,2.979654812
758,신은 죽지 않았다 2|신은 죽지 않았다|실버벨,10042932,해롤드 크론크,감독,72733,2,36366.5,-0.386308918,-0.020543308,0.513691082,2.979456692
759,언더월드: 블러드 워,20246349,안나 포에스터,감독,72071,1,72071,-0.386541052,-0.020775442,0.513458948,2.979224558
760,쿰바: 반쪽무늬 얼룩말의 대모험,10036315,앤서니 실버스톤,감독,72046,1,72046,-0.386549819,-0.020784208,0.513450181,2.979215792
761,판타스티카|판타스틱 부니베어|부니베어: 나무 도둑의 습격|부니베어: 로거빅 컴백홈 프로젝트|부니베어: 브램블의 신비한 모험|부니 베어: 롤라 구출 대모험,10019781,정량,감독,72010,4,18002.5,-0.386562442,-0.020796832,0.513437558,2.979203168
762,화이트 고릴라|생쥐 페레즈 구출작전,20175101,안드레스 G. 슈에,감독,71796,1,71796,-0.386637482,-0.020871872,0.513362518,2.979128128
763,더 서클|스매쉬드,20173656,제임스 폰솔트,감독,71362,1,71362,-0.386789667,-0.021024056,0.513210333,2.978975944
764,정글히어로,20192050,마우리시오 드 라 오르타,감독,71330,1,71330,-0.386800888,-0.021035277,0.513199112,2.978964723
765,세상에서 고양이가 사라진다면,20246709,나가이 아키라,감독,69586,1,69586,-0.38741243,-0.02164682,0.51258757,2.97835318
766,어카운턴트|제인 갓 어 건|워리어|프라이드 앤 글로리|미라클|텀블위즈,10001020,개빈 오코너,감독,69529,1,69529,-0.387432418,-0.021666807,0.512567582,2.978333193
767,파더 앤 도터|당신에게도 사랑이 다시 찾아올까요?|키스 미 어게인|세븐 파운즈|행복을 찾아서|리멤버 미|라스트 키스|나에게 유일한,10000103,가브리엘 무치노,감독,69032,2,34516,-0.387606693,-0.021841083,0.512393307,2.978158917
768,뉴니스|이퀄스|우리가 사랑한 시간|라이크 크레이지,20170123,드레이크 도리머스,감독,68897,1,68897,-0.387654032,-0.021888421,0.512345968,2.978111579
769,스티브 잡스|클래스 오브 92|트랜스 |127시간|슬럼독 밀리어네어|선샤인|밀리언즈|28일 후|스트럼펫|천국에서 홀딱 벗고 청소하기|비치|이완 맥그리거의 인질|트레인스포팅 |쉘로우 그레이브 ,10010194,대니 보일,감독,68815,1,68815,-0.387682785,-0.021917175,0.512317215,2.978082825
