rank,mname,director,provider,date,country,n_scrn,guest,genre,rating,grade,actor,director_score,director_grade,actor_score,actor_grade,grene_score,grene_grade,provider1_power,providera_grade,provider2_power,providerb_grade
"1,053",본 투 비 블루,로버트 뷔드로,그린나래미디어(주),2016-06-09,캐나다,147,92729,드라마,청소년관람불가,8.75,에단 호크|카르멘 에조고|칼럼 키스 레니|,2.272591522, ,4.934695919,,3.619562379,c,Na,Na,Na,Na
"1,054",7번째 아들,세르게이 보드로프,유니버설픽쳐스인터내셔널 코리아(유),2015-02-11,미국,358,92598,어드벤처,12세이상관람가,4.91,줄리안 무어|벤 반스|제프 브리지스|,12.36267795, ,5.256693787,,0.339376736,,7.81252,a,7.81252,b
"1,056",철가방 우수氏,윤학렬,씨제이이앤엠(주),2012-11-22,한국,119,92404,드라마,12세이상관람가,9.13,최수종|,19.94668544, ,4.786386681,,3.619562379,c,16.58469,a,16.58469,a
"1,057",크리미널,아리엘 브로멘,(주)영화사 빅,2016-06-22,영국,351,92358,액션,15세이상관람가,7.97,라이언 레이놀즈|케빈 코스트너|게리 올드만|토미 리 존스|갤 가돗|앨리스 이브|,4.699094781, ,5.789139956,,2.048234687,,Na,Na,2.04346,d
"1,058",포커스,"글렌 피카라,존 레쿼",워너브러더스 코리아(주),2015-02-26,미국,349,91164,코미디,15세이상관람가,7.04,윌 스미스|마고 로비|로드리고 산토로|,8.031584609, ,5.394730965,,0.95516323,,7.12231,b,7.12231,b
"1,060",타워 하이스트,브렛 래트너,유니버설픽쳐스인터내셔널 코리아(유),2011-11-17,미국,213,90840,액션,12세이상관람가,7.54,벤 스틸러|에디 머피|,12.36267795, ,5.074618318,,0,,7.81252,a,7.81252,b
"1,061",노 게임 노 라이프 -제로-,이시즈카 아츠코,(주)박수엔터테인먼트,2017-10-19,일본,121,90718,애니메이션,12세이상관람가,7.11,마츠오카 요시츠구|카야노 아이|히카사 요코|타무라 유카리|이구치 유카|노토 마미코|사와시로 미유키|,5.304287759, ,4.788004807,,1.468025358,,Na,Na,2.31572,d
"1,063",완벽한 파트너,박헌수,타임스토리그룹(주),2011-11-17,한국,166,89526,코미디,청소년관람불가,6.84,김영호|김혜선|김산호|윤채이|,0, ,4.776716186,,0,,Na,Na,Na,Na
"1,064",더 매직: 리틀톰과 도둑공주,어네스토 파드롱,"㈜코리아스크린,와이드 릴리즈(주)",2015-09-24,스페인,193,89358,애니메이션,전체관람가,7.85,카를로스 블랑코|몬티 카스티네이라스|마리아 카스트로|루이스 이글레시아스|마리아 푸할테|하비에르 레이|,1.437727776, ,0,,0.667591942,,0,0,1.1986,e
"1,066",오베라는 남자,하네스 홀름,"(주)싸이더스,(주)디스테이션",2016-05-25,스웨덴,255,89103,드라마,12세이상관람가,9.18,필립 버그|롤프 라스가드|바하르 파르스|이다 엥볼|,0, ,4.776649022,,3.619562379,c,0.84913,e,0,0
